2021-10-09 09:44:29.214 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Starting DemoApplication using Java 1.8.0_291 on LAPTOP-PM8994E9 with PID 14216 (D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo\target\classes started by 风格福德宫 in D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo)
2021-10-09 09:44:29.225 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - No active profile set, falling back to default profiles: default
2021-10-09 09:44:36.067 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Started DemoApplication in 8.041 seconds (JVM running for 16.962)
2021-10-09 14:10:37.165 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Starting DemoApplication using Java 1.8.0_291 on LAPTOP-PM8994E9 with PID 15584 (D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo\target\classes started by 风格福德宫 in D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo)
2021-10-09 14:10:37.170 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - No active profile set, falling back to default profiles: default
2021-10-09 14:10:41.159 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Started DemoApplication in 4.615 seconds (JVM running for 7.613)
2021-10-09 14:21:30.965 [http-nio-8080-exec-18] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 14:21:39.178 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Starting DemoApplication using Java 1.8.0_291 on LAPTOP-PM8994E9 with PID 17964 (D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo\target\classes started by 风格福德宫 in D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo)
2021-10-09 14:21:39.182 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - No active profile set, falling back to default profiles: default
2021-10-09 14:21:42.697 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Started DemoApplication in 4.081 seconds (JVM running for 6.304)
2021-10-09 14:21:48.494 [http-nio-8080-exec-2] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 14:28:38.404 [http-nio-8080-exec-5] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 14:29:44.536 [http-nio-8080-exec-6] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 14:34:32.980 [http-nio-8080-exec-8] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 14:34:34.586 [http-nio-8080-exec-10] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 14:36:04.105 [http-nio-8080-exec-13] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:36:23.414 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Starting DemoApplication using Java 1.8.0_291 on LAPTOP-PM8994E9 with PID 10016 (D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo\target\classes started by 风格福德宫 in D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo)
